日期,單位名稱,買進金額,賣出金額,買賣差額
2024-03-13,投信,"17,548,236,591","11,022,456,767","6,525,779,824"
2024-03-13,自營商(自行買賣),"7,963,173,343","10,603,076,943","-2,639,903,600"
2024-03-13,外資及陸資(不含外資自營商),"179,683,233,492","172,698,533,200","6,984,700,292"
2024-03-13,合計,"220,178,994,008","215,386,556,530","4,792,437,478"
2024-03-14,自營商(自行買賣),"6,045,144,916","6,514,198,616","-469,053,700"
2024-03-14,外資自營商,"236,690","282,020","-45,330"
2024-03-14,自營商(避險),"13,844,543,467","20,398,012,768","-6,553,469,301"
2024-03-14,合計,"206,261,566,603","211,388,283,648","-5,126,717,045"
2024-03-14,外資及陸資(不含外資自營商),"175,647,575,401","175,139,674,094","507,901,307"
2024-03-14,投信,"10,724,302,819","9,336,398,170","1,387,904,649"
2024-03-15,合計,"266,520,856,369","280,140,899,869","-13,620,043,500"
2024-03-15,自營商(自行買賣),"8,068,990,171","6,759,925,583","1,309,064,588"
2024-03-15,外資自營商,"224,420","280,500","-56,080"
2024-03-15,投信,"16,626,265,744","14,536,691,686","2,089,574,058"
2024-03-15,自營商(避險),"14,359,135,941","19,661,566,423","-5,302,430,482"
2024-03-15,外資及陸資(不含外資自營商),"227,466,464,513","239,182,716,177","-11,716,251,664"
2024-03-18,合計,"181,411,220,382","176,445,918,993","4,965,301,389"
2024-03-18,投信,"20,723,031,649","7,516,067,026","13,206,964,623"
2024-03-18,外資自營商,"154,080","241,430","-87,350"
2024-03-18,自營商(避險),"13,492,648,316","14,462,911,383","-970,263,067"
2024-03-18,外資及陸資(不含外資自營商),"140,625,050,821","149,259,523,896","-8,634,473,075"
2024-03-18,自營商(自行買賣),"6,570,489,596","5,207,416,688","1,363,072,908"
2024-03-19,投信,"39,715,753,157","11,821,876,663","27,893,876,494"
2024-03-19,自營商(避險),"15,740,023,435","16,454,306,693","-714,283,258"
2024-03-19,外資自營商,"389,290","91,390","297,900"
2024-03-19,自營商(自行買賣),"6,140,719,723","6,795,589,338","-654,869,615"
2024-03-19,合計,"199,975,218,102","195,019,592,154","4,955,625,948"
2024-03-19,外資及陸資(不含外資自營商),"138,378,721,787","159,947,819,460","-21,569,097,673"
2024-03-20,投信,"25,988,569,051","10,146,550,671","15,842,018,380"
2024-03-20,外資自營商,"121,500","120,680",820
2024-03-20,合計,"203,822,203,480","224,769,624,297","-20,947,420,817"
2024-03-20,外資及陸資(不含外資自營商),"151,967,278,915","178,943,172,840","-26,975,893,925"
2024-03-20,自營商(自行買賣),"9,958,137,720","10,331,084,387","-372,946,667"
2024-03-20,自營商(避險),"15,908,217,794","25,348,816,399","-9,440,598,605"
2024-03-21,合計,"212,527,800,367","176,797,126,684","35,730,673,683"
2024-03-21,外資自營商,"363,620","407,220","-43,600"
2024-03-21,自營商(避險),"17,558,801,540","16,936,169,216","622,632,324"
2024-03-21,投信,"19,007,115,214","7,785,112,832","11,222,002,382"
2024-03-21,外資及陸資(不含外資自營商),"165,877,783,716","147,513,572,053","18,364,211,663"
2024-03-21,自營商(自行買賣),"10,084,099,897","4,562,272,583","5,521,827,314"
2024-03-22,自營商(自行買賣),"7,695,946,381","6,351,982,961","1,343,963,420"
2024-03-22,投信,"13,104,951,163","9,504,108,716","3,600,842,447"
2024-03-22,自營商(避險),"16,231,144,252","16,264,637,437","-33,493,185"
2024-03-22,外資及陸資(不含外資自營商),"157,568,396,615","155,131,586,476","2,436,810,139"
2024-03-22,合計,"194,600,438,411","187,252,315,590","7,348,122,821"
2024-03-22,外資自營商,"391,070",0,"391,070"
2024-03-25,外資自營商,"223,070",0,"223,070"
2024-03-25,自營商(避險),"12,103,846,030","11,861,049,347","242,796,683"
2024-03-25,外資及陸資(不含外資自營商),"98,500,219,323","107,764,684,587","-9,264,465,264"
2024-03-25,投信,"9,165,234,912","6,571,437,602","2,593,797,310"
